FIRST_NAME,LAST_NAME,PHONE_NUMBER,COUNTRY
Aurora,Johnson,172.666.1653,Tuvalu
Barabara,Stiedemann,1-091-987-9942,Tajikistan
Bryan,Little,335.927.0563,USA
Gaston,Pfeffer,1-666-546-5852,Georgia
Keneth,Dietrich,(046) 982-6961,Turkey
Magen,Effertz,(075) 214-0314,Peru
Marlon,Mann,760.786.9991,Cook Islands
Marybeth,Kreiger,1-974-779-4560,Seychelles
Olen,Christiansen,(684) 333-9996,Pakistan
Sonny,Kuhlman,665.698.6093,Denmark
Alfonso,Jacobson,584-337-2758,Cameroon
Beatris,Prosacco,(599) 832-3657,Tajikistan
Danuta,Abshire,1-163-906-4514,Czech Republic
Darin,Green,467-625-3044,Palestinian Territory
Fermina,Gleichner,(356) 525-4553,Malawi
Jeannetta,Thompson,1-698-018-8611,Brazil
Maria,Popescu,(232) 731-3919,Romania
Margarite,Armstrong,1-582-574-8718,Pakistan
Melynda,Swaniawski,1-614-084-3200,Western Sahara
Marco,Reus,296.215.0219,Germany
